id,qname,heading,text,type,diagram,website,updated
,divergeRoute,divergeRoute,The route to which the road sign is pointing.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/divergeRoute,2026-07-21T18:08:15.348954
,forAccessCategory,forAccessCategory,The type of restriction that regulates access to a facility.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forAccessCategory,2026-07-21T18:08:15.348954
,forEnumeratedCondition,forEnumeratedCondition,The enumerated condition that affects the applicability of the regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forEnumeratedCondition,2026-07-21T18:08:15.348954
,forMeasurableCondition,forMeasurableCondition,The measurable condition that affects the applicability of the regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forMeasurableCondition,2026-07-21T18:08:15.348954
,forNonVehicularRoadUserType,forNonVehicularRoadUserType,The type of non-vehicular road user that is subject to the regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forNonVehicularRoadUserType,2026-07-21T18:08:15.348954
,forRoadType,forRoadType,The type of road upon which travel is taking place.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forRoadType,2026-07-21T18:08:15.348954
,forStandingOrParkingCategory,forStandingOrParkingCategory,The category of standing or parking within which travel is taking place.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forStandingOrParkingCategory,2026-07-21T18:08:15.348954
,forTunnelCategory,forTunnelCategory,The category of tunnel within which travel is taking place.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forTunnelCategory,2026-07-21T18:08:15.348954
,forWeatherConditionType,forWeatherConditionType,The type of weather condition that is subject to the regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/forWeatherConditionType,2026-07-21T18:08:15.348954
,grantsDesignation,grantsDesignation,The permissions that are granted by the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/grantsDesignation,2026-07-21T18:08:15.348954
,hasActivationStatus,hasActivationStatus,A code indicating the activation status of the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasActivationStatus,2026-07-21T18:08:15.348954
,hasApplicableLocation,hasApplicableLocation,The location where the permit is applicable.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasApplicableLocation,2026-07-21T18:08:15.348954
,hasApplicationInformation,hasApplicationInformation,Details about the application of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasApplicationInformation,2026-07-21T18:08:15.348954
,hasApplicationInstructions,hasApplicationInstructions,The method by which the permit can be obtained.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/hasApplicationInstructions,2026-07-21T18:08:15.348954
,hasApplicationUrl,hasApplicationUrl,The URL for the application of the permit.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/hasApplicationUrl,2026-07-21T18:08:15.348954
,hasAssociatedFee,hasAssociatedFee,A fee that is associated with the instance of the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasAssociatedFee,2026-07-21T18:08:15.348954
,hasAssociatedRestriction,hasAssociatedRestriction,A restriction associated with the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasAssociatedRestriction,2026-07-21T18:08:15.348954
,hasCondition,hasCondition,"A condition associated with the instance (for example a traffic regulation); not used for the part-whole composition of a ConditionSet, which uses cdm1:hasComponent.",ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasCondition,2026-07-21T18:08:15.348954
,hasContactInformation,hasContactInformation,Contact information for the entity that is responsible for the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasContactInformation,2026-07-21T18:08:15.348954
,hasDefaultDurationLimit,hasDefaultDurationLimit,The default duration of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasDefaultDurationLimit,2026-07-21T18:08:15.348954
,hasDefaultLocation,hasDefaultLocation,The default location of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasDefaultLocation,2026-07-21T18:08:15.348954
,hasDefaultRepeatInterval,hasDefaultRepeatInterval,The default repeat interval of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasDefaultRepeatInterval,2026-07-21T18:08:15.348954
,hasDisplayType,hasDisplayType,The type of display that is associated with the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasDisplayType,2026-07-21T18:08:15.348954
,hasDurationLimit,hasDurationLimit,The maximum duration of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasDurationLimit,2026-07-21T18:08:15.348954
,hasGrantee,hasGrantee,The entity that is granted the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasGrantee,2026-07-21T18:08:15.348954
,hasGranteeType,hasGranteeType,The type of entity that is granted the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasGranteeType,2026-07-21T18:08:15.348954
,hasGrantor,hasGrantor,The authority that is responsible for issuing the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasGrantor,2026-07-21T18:08:15.348954
,hasInformationUrl,hasInformationUrl,The URL for the information about the permit.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/hasInformationUrl,2026-07-21T18:08:15.348954
,hasLegalBasis,hasLegalBasis,"formal authority within the law (e.g., statute, ordinance, administrative rule, constitutional provision) that empowers an entity to create, adopt, or enforce a regulation",ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasLegalBasis,2026-07-21T18:08:15.348954
,hasPermitType,hasPermitType,The type of permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasPermitType,2026-07-21T18:08:15.348954
,hasRegistrationMachine,hasRegistrationMachine,A registration machine that is associated with the instance of the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasRegistrationMachine,2026-07-21T18:08:15.348954
,hasRepeatInterval,hasRepeatInterval,The minimum time to the next entry.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasRepeatInterval,2026-07-21T18:08:15.348954
,hasValidityPeriod,hasValidityPeriod,The validity period of the permit.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/hasValidityPeriod,2026-07-21T18:08:15.348954
,image,image,An image that is associated with the traffic control device.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/image,2026-07-21T18:08:15.348954
,implementedLocation,implementedLocation,"The location where the regulation was implemented (e.g., with traffic control devices).",ObjectProperty,,https://w3id.org/itsdata/regulation/v1/implementedLocation,2026-07-21T18:08:15.348954
,implementedValidity,implementedValidity,The validity period for the condition as implemented.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/implementedValidity,2026-07-21T18:08:15.348954
,isActive,isActive,Indicates whether the condition is currently active.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/isActive,2026-07-21T18:08:15.348954
,isApplicationRequired,isApplicationRequired,Indicates whether an application is required for the permit.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/isApplicationRequired,2026-07-21T18:08:15.348954
,isLocationSpecific,isLocationSpecific,Indicates whether the permit is location specific.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/isLocationSpecific,2026-07-21T18:08:15.348954
